"CustomerID","CompanyName","ContactName","ContactTitle","Address","City","Region","PostalCode","Country","Phone","Fax"
"LILAS","LILA-Supermercado","Carlos González","Accounting Manager","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","(9) 331-6954","(9) 331-7256"
"RICSU","Richter Supermarkt","Michael Holz","Sales Manager","Grenzacherweg 237","Genève",\N,"1203","Switzerland","0897-034214",\N
"WOLZA","Wolski  Zajazd","Zbyszek Piestrzeniewicz","Owner","ul. Filtrowa 68","Warszawa",\N,"01-012","Poland","(26) 642-7012","(26) 642-7012"
"HILAA","HILARION-Abastos","Carlos Hernández","Sales Representative","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","(5) 555-1340","(5) 555-1948"
"FRANS","Franchi S.p.A.","Paolo Accorti","Sales Representative","Via Monte Bianco 34","Torino",\N,"10100","Italy","011-4988260","011-4988261"
"REGGC","Reggiani Caseifici","Maurizio Moroni","Sales Associate","Strada Provinciale 124","Reggio Emilia",\N,"42100","Italy","0522-556721","0522-556722"
"OCEAN","Océano Atlántico Ltda.","Yvonne Moncada","Sales Agent","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires",\N,"1010","Argentina","(1) 135-5333","(1) 135-5535"
"OLDWO","Old World Delicatessen","Rene Phillips","Sales Representative","2743 Bering St.","Anchorage","AK","99508","USA","(907) 555-7584","(907) 555-2880"
"KOENE","Königlich Essen","Philip Cramer","Sales Associate","Maubelstr. 90","Brandenburg",\N,"14776","Germany","0555-09876",\N
"MAISD","Maison Dewey","Catherine Dewey","Sales Agent","Rue Joseph-Bens 532","Bruxelles",\N,"B-1180","Belgium","(02) 201 24 67","(02) 201 24 68"
"MEREP","Mère Paillarde","Jean Fresnière","Marketing Assistant","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada","(514) 555-8054","(514) 555-8055"
"WELLI","Wellington Importadora","Paula Parente","Sales Manager","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","(14) 555-8122",\N
"PICCO","Piccolo und mehr","Georg Pipps","Sales Manager","Geislweg 14","Salzburg",\N,"5020","Austria","6562-9722","6562-9723"
"WILMK","Wilman Kala","Matti Karttunen","Owner/Marketing Assistant","Keskuskatu 45","Helsinki",\N,"21240","Finland","90-224 8858","90-224 8858"
"TOMSP","Toms Spezialitäten","Karin Josephs","Marketing Manager","Luisenstr. 48","Münster",\N,"44087","Germany","0251-031259","0251-035695"
"LINOD","LINO-Delicateses","Felipe Izquierdo","Owner","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela","(8) 34-56-12","(8) 34-93-93"
"DUMON","Du monde entier","Janine Labrune","Owner","67, rue des Cinquante Otages","Nantes",\N,"44000","France","40.67.88.88","40.67.89.89"
"FOLIG","Folies gourmandes","Martine Rancé","Assistant Sales Agent","184, chaussée de Tournai","Lille",\N,"59000","France","20.16.10.16","20.16.10.17"
"QUEEN","Queen Cozinha","Lúcia Carvalho","Marketing Assistant","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil","(11) 555-1189",\N
"GALED","Galería del gastrónomo","Eduardo Saavedra","Marketing Manager","Rambla de Cataluña, 23","Barcelona",\N,"08022","Spain","(93) 203 4560","(93) 203 4561"
